url|code|confidence|source|price|location|store_name|address_line1|address_line2|city|state|expires|error
https://offers.greatclips.com/tuyspvO||||$9.99|Great Clips Eagle Eye Plaza at 4840 Asbury Rd in Dubuque, IA|Great Clips|Eagle Eye Plaza|4840 Asbury Rd|Dubuque|IA|10/09/2026|
https://offers.greatclips.com/yEAS25f||||$9.99|Great Clips Aspen Creek at 18870 Oakmont Dr in Omaha, NE|Great Clips|Aspen Creek|18870 Oakmont Dr|Omaha|NE|10/09/2026|
https://offers.greatclips.com/Lw0ozbV||||$9.99|Great Clips Maple Heights at 3328 N 108th St in Omaha, NE|Great Clips|Maple Heights|3328 N 108th St|Omaha|NE|10/09/2026|
https://offers.greatclips.com/ulb7SMW||||$9.99|Great Clips Superstition Springs at 6920 E Baseline Rd in Mesa, AZ|Great Clips|Superstition Springs|6920 E Baseline Rd|Mesa|AZ|09/14/2026|
https://offers.greatclips.com/ozTZejL||||$9.99|Great Clips Morrison Ranch at 3546 South Power Road in Gilbert, AZ|Great Clips|Morrison Ranch|3546 South Power Road|Gilbert|AZ|09/14/2026|
https://offers.greatclips.com/NZiwyAq||||$9.99|Great Clips Gateway Pavillions at 10030 W McDowell Rd in Avondale, AZ|Great Clips|Gateway Pavillions|10030 W McDowell Rd|Avondale|AZ|09/13/2026|
https://offers.greatclips.com/wrDWh1t||||$9.99|Great Clips Fry's Anderson Springs at 1960 W Ray Rd in Chandler, AZ|Great Clips|Fry's Anderson Springs|1960 W Ray Rd|Chandler|AZ|09/13/2026|
https://offers.greatclips.com/xY3qasf||||$9.99|Great Clips Arrowhead Marketplace at 7942 W Bell Rd in Glendale, AZ|Great Clips|Arrowhead Marketplace|7942 W Bell Rd|Glendale|AZ|09/13/2026|
https://offers.greatclips.com/gNl8J5w||||$9.99|Great Clips Chandler Village Center at 3415 W Frye Rd in Chandler, AZ|Great Clips|Chandler Village Center|3415 W Frye Rd|Chandler|AZ|09/13/2026|
https://offers.greatclips.com/d5dsrVi||||$9.99|Great Clips The Park at 1245 W Chandler Blvd in Chandler, AZ|Great Clips|The Park|1245 W Chandler Blvd|Chandler|AZ|09/13/2026|
https://offers.greatclips.com/zgaTPl3||||$9.99|Great Clips North by Northeast Shopping Center at 7838 E 96th St in Fishers, IN|Great Clips|North by Northeast Shopping Center|7838 E 96th St|Fishers|IN|09/07/2026|
https://offers.greatclips.com/BHIwKC3||||$9.99|Great Clips Exit 5 Plaza at 9785 E 116th St in Fishers, IN|Great Clips|Exit 5 Plaza|9785 E 116th St|Fishers|IN|09/07/2026|
https://offers.greatclips.com/fdcToKE||||$9.99|Great Clips Vantage Pointe at 3830 Ruckriegel Pkwy in Louisville, KY|Great Clips|Vantage Pointe|3830 Ruckriegel Pkwy|Louisville|KY|09/02/2026|
